DexNo	Name	HP	Attack	Defense	Sp_Atk	Sp_Def	Speed	Total	Type1	Type2	Generation	Legendary
44	Gloom	60	65	70	85	75	40	395	Grass	Poison	1	False
45	Vileplume	75	80	85	110	90	50	490	Grass	Poison	1	False
46	Paras	35	70	55	45	55	25	285	Bug	Grass	1	False
47	Parasect	60	95	80	60	80	30	405	Bug	Grass	1	False
48	Venonat	60	55	50	40	55	45	305	Bug	Poison	1	False
49	Venomoth	70	65	60	90	75	90	450	Bug	Poison	1	False
50	Diglett	10	55	25	35	45	95	265	Ground		1	False
51	Dugtrio	35	80	50	50	70	120	405	Ground		1	False
52	Meowth	40	45	35	40	40	90	290	Normal		1	False
53	Persian	65	70	60	65	65	115	440	Normal		1	False
54	Psyduck	50	52	48	65	50	55	320	Water		1	False
55	Golduck	80	82	78	95	80	85	500	Water		1	False
56	Mankey	40	80	35	35	45	70	305	Fighting		1	False
57	Primeape	65	105	60	60	70	95	455	Fighting		1	False
58	Growlithe	55	70	45	70	50	60	350	Fire		1	False
59	Arcanine	90	110	80	100	80	95	555	Fire		1	False
60	Poliwag	40	50	40	40	40	90	300	Water		1	False
61	Poliwhirl	65	65	65	50	50	90	385	Water		1	False
62	Poliwrath	90	95	95	70	90	70	510	Water	Fighting	1	False
63	Abra	25	20	15	105	55	90	310	Psychic		1	False
64	Kadabra	40	35	30	120	70	105	400	Psychic		1	False
65	Alakazam	55	50	45	135	95	120	500	Psychic		1	False
65	AlakazamMega Alakazam	55	50	65	175	95	150	590	Psychic		1	False
66	Machop	70	80	50	35	35	35	305	Fighting		1	False
67	Machoke	80	100	70	50	60	45	405	Fighting		1	False
68	Machamp	90	130	80	65	85	55	505	Fighting		1	False
69	Bellsprout	50	75	35	70	30	40	300	Grass	Poison	1	False
70	Weepinbell	65	90	50	85	45	55	390	Grass	Poison	1	False
71	Victreebel	80	105	65	100	70	70	490	Grass	Poison	1	False
72	Tentacool	40	40	35	50	100	70	335	Water	Poison	1	False
73	Tentacruel	80	70	65	80	120	100	515	Water	Poison	1	False
74	Geodude	40	80	100	30	30	20	300	Rock	Ground	1	False
75	Graveler	55	95	115	45	45	35	390	Rock	Ground	1	False
76	Golem	80	120	130	55	65	45	495	Rock	Ground	1	False
77	Ponyta	50	85	55	65	65	90	410	Fire		1	False
78	Rapidash	65	100	70	80	80	105	500	Fire		1	False
79	Slowpoke	90	65	65	40	40	15	315	Water	Psychic	1	False
80	Slowbro	95	75	110	100	80	30	490	Water	Psychic	1	False
80	SlowbroMega Slowbro	95	75	180	130	80	30	590	Water	Psychic	1	False
81	Magnemite	25	35	70	95	55	45	325	Electric	Steel	1	False
82	Magneton	50	60	95	120	70	70	465	Electric	Steel	1	False
83	Farfetch'd	52	65	55	58	62	60	352	Normal	Flying	1	False
84	Doduo	35	85	45	35	35	75	310	Normal	Flying	1	False
85	Dodrio	60	110	70	60	60	100	460	Normal	Flying	1	False
86	Seel	65	45	55	45	70	45	325	Water		1	False
87	Dewgong	90	70	80	70	95	70	475	Water	Ice	1	False
88	Grimer	80	80	50	40	50	25	325	Poison		1	False
89	Muk	105	105	75	65	100	50	500	Poison		1	False
90	Shellder	30	65	100	45	25	40	305	Water		1	False
91	Cloyster	50	95	180	85	45	70	525	Water	Ice	1	False
92	Gastly	30	35	30	100	35	80	310	Ghost	Poison	1	False
93	Haunter	45	50	45	115	55	95	405	Ghost	Poison	1	False
94	Gengar	60	65	60	130	75	110	500	Ghost	Poison	1	False
94	GengarMega Gengar	60	65	80	170	95	130	600	Ghost	Poison	1	False
95	Onix	35	45	160	30	45	70	385	Rock	Ground	1	False
96	Drowzee	60	48	45	43	90	42	328	Psychic		1	False
97	Hypno	85	73	70	73	115	67	483	Psychic		1	False
98	Krabby	30	105	90	25	25	50	325	Water		1	False
99	Kingler	55	130	115	50	50	75	475	Water		1	False
100	Voltorb	40	30	50	55	55	100	330	Electric		1	False
101	Electrode	60	50	70	80	80	140	480	Electric		1	False
102	Exeggcute	60	40	80	60	45	40	325	Grass	Psychic	1	False
103	Exeggutor	95	95	85	125	65	55	520	Grass	Psychic	1	False
104	Cubone	50	50	95	40	50	35	320	Ground		1	False
105	Marowak	60	80	110	50	80	45	425	Ground		1	False
106	Hitmonlee	50	120	53	35	110	87	455	Fighting		1	False
107	Hitmonchan	50	105	79	35	110	76	455	Fighting		1	False
108	Lickitung	90	55	75	60	75	30	385	Normal		1	False
109	Koffing	40	65	95	60	45	35	340	Poison		1	False
110	Weezing	65	90	120	85	70	60	490	Poison		1	False
111	Rhyhorn	80	85	95	30	30	25	345	Ground	Rock	1	False
112	Rhydon	105	130	120	45	45	40	485	Ground	Rock	1	False
113	Chansey	250	5	5	35	105	50	450	Normal		1	False
114	Tangela	65	55	115	100	40	60	435	Grass		1	False
115	Kangaskhan	105	95	80	40	80	90	490	Normal		1	False
115	KangaskhanMega Kangaskhan	105	125	100	60	100	100	590	Normal		1	False
116	Horsea	30	40	70	70	25	60	295	Water		1	False
117	Seadra	55	65	95	95	45	85	440	Water		1	False
118	Goldeen	45	67	60	35	50	63	320	Water		1	False
119	Seaking	80	92	65	65	80	68	450	Water		1	False
120	Staryu	30	45	55	70	55	85	340	Water		1	False
121	Starmie	60	75	85	100	85	115	520	Water	Psychic	1	False
122	Mr. Mime	40	45	65	100	120	90	460	Psychic	Fairy	1	False
123	Scyther	70	110	80	55	80	105	500	Bug	Flying	1	False
124	Jynx	65	50	35	115	95	95	455	Ice	Psychic	1	False
125	Electabuzz	65	83	57	95	85	105	490	Electric		1	False
126	Magmar	65	95	57	100	85	93	495	Fire		1	False
127	Pinsir	65	125	100	55	70	85	500	Bug		1	False
127	PinsirMega Pinsir	65	155	120	65	90	105	600	Bug	Flying	1	False
128	Tauros	75	100	95	40	70	110	490	Normal		1	False
129	Magikarp	20	10	55	15	20	80	200	Water		1	False
130	Gyarados	95	125	79	60	100	81	540	Water	Flying	1	False
130	GyaradosMega Gyarados	95	155	109	70	130	81	640	Water	Dark	1	False
131	Lapras	130	85	80	85	95	60	535	Water	Ice	1	False
132	Ditto	48	48	48	48	48	48	288	Normal		1	False
133	Eevee	55	55	50	45	65	55	325	Normal		1	False
134	Vaporeon	130	65	60	110	95	65	525	Water		1	False
135	Jolteon	65	65	60	110	95	130	525	Electric		1	False
136	Flareon	65	130	60	95	110	65	525	Fire		1	False
137	Porygon	65	60	70	85	75	40	395	Normal		1	False
138	Omanyte	35	40	100	90	55	35	355	Rock	Water	1	False
139	Omastar	70	60	125	115	70	55	495	Rock	Water	1	False
140	Kabuto	30	80	90	55	45	55	355	Rock	Water	1	False
141	Kabutops	60	115	105	65	70	80	495	Rock	Water	1	False
142	Aerodactyl	80	105	65	60	75	130	515	Rock	Flying	1	False
142	AerodactylMega Aerodactyl	80	135	85	70	95	150	615	Rock	Flying	1	False
143	Snorlax	160	110	65	65	110	30	540	Normal		1	False
144	Articuno	90	85	100	95	125	85	580	Ice	Flying	1	True
145	Zapdos	90	90	85	125	90	100	580	Electric	Flying	1	True
146	Moltres	90	100	90	125	85	90	580	Fire	Flying	1	True
147	Dratini	41	64	45	50	50	50	300	Dragon		1	False
148	Dragonair	61	84	65	70	70	70	420	Dragon		1	False
149	Dragonite	91	134	95	100	100	80	600	Dragon	Flying	1	False
150	Mewtwo	106	110	90	154	90	130	680	Psychic		1	True
150	MewtwoMega Mewtwo X	106	190	100	154	100	130	780	Psychic	Fighting	1	True
150	MewtwoMega Mewtwo Y	106	150	70	194	120	140	780	Psychic		1	True
151	Mew	100	100	100	100	100	100	600	Psychic		1	False
152	Chikorita	45	49	65	49	65	45	318	Grass		2	False
153	Bayleef	60	62	80	63	80	60	405	Grass		2	False
154	Meganium	80	82	100	83	100	80	525	Grass		2	False
155	Cyndaquil	39	52	43	60	50	65	309	Fire		2	False
156	Quilava	58	64	58	80	65	80	405	Fire		2	False
157	Typhlosion	78	84	78	109	85	100	534	Fire		2	False
158	Totodile	50	65	64	44	48	43	314	Water		2	False
159	Croconaw	65	80	80	59	63	58	405	Water		2	False
160	Feraligatr	85	105	100	79	83	78	530	Water		2	False
161	Sentret	35	46	34	35	45	20	215	Normal		2	False
162	Furret	85	76	64	45	55	90	415	Normal		2	False
163	Hoothoot	60	30	30	36	56	50	262	Normal	Flying	2	False
164	Noctowl	100	50	50	76	96	70	442	Normal	Flying	2	False
165	Ledyba	40	20	30	40	80	55	265	Bug	Flying	2	False
166	Ledian	55	35	50	55	110	85	390	Bug	Flying	2	False
167	Spinarak	40	60	40	40	40	30	250	Bug	Poison	2	False
168	Ariados	70	90	70	60	60	40	390	Bug	Poison	2	False
169	Crobat	85	90	80	70	80	130	535	Poison	Flying	2	False
170	Chinchou	75	38	38	56	56	67	330	Water	Electric	2	False
171	Lanturn	125	58	58	76	76	67	460	Water	Electric	2	False
172	Pichu	20	40	15	35	35	60	205	Electric		2	False
173	Cleffa	50	25	28	45	55	15	218	Fairy		2	False
174	Igglybuff	90	30	15	40	20	15	210	Normal	Fairy	2	False
175	Togepi	35	20	65	40	65	20	245	Fairy		2	False
176	Togetic	55	40	85	80	105	40	405	Fairy	Flying	2	False
177	Natu	40	50	45	70	45	70	320	Psychic	Flying	2	False
178	Xatu	65	75	70	95	70	95	470	Psychic	Flying	2	False
179	Mareep	55	40	40	65	45	35	280	Electric		2	False
180	Flaaffy	70	55	55	80	60	45	365	Electric		2	False
181	Ampharos	90	75	85	115	90	55	510	Electric		2	False
181	AmpharosMega Ampharos	90	95	105	165	110	45	610	Electric	Dragon	2	False
182	Bellossom	75	80	95	90	100	50	490	Grass		2	False
183	Marill	70	20	50	20	50	40	250	Water	Fairy	2	False
184	Azumarill	100	50	80	60	80	50	420	Water	Fairy	2	False
185	Sudowoodo	70	100	115	30	65	30	410	Rock		2	False
186	Politoed	90	75	75	90	100	70	500	Water		2	False
187	Hoppip	35	35	40	35	55	50	250	Grass	Flying	2	False
188	Skiploom	55	45	50	45	65	80	340	Grass	Flying	2	False
189	Jumpluff	75	55	70	55	95	110	460	Grass	Flying	2	False
190	Aipom	55	70	55	40	55	85	360	Normal		2	False
191	Sunkern	30	30	30	30	30	30	180	Grass		2	False
192	Sunflora	75	75	55	105	85	30	425	Grass		2	False
193	Yanma	65	65	45	75	45	95	390	Bug	Flying	2	False
194	Wooper	55	45	45	25	25	15	210	Water	Ground	2	False
195	Quagsire	95	85	85	65	65	35	430	Water	Ground	2	False
196	Espeon	65	65	60	130	95	110	525	Psychic		2	False
197	Umbreon	95	65	110	60	130	65	525	Dark		2	False
198	Murkrow	60	85	42	85	42	91	405	Dark	Flying	2	False
199	Slowking	95	75	80	100	110	30	490	Water	Psychic	2	False
200	Misdreavus	60	60	60	85	85	85	435	Ghost		2	False
201	Unown	48	72	48	72	48	48	336	Psychic		2	False
202	Wobbuffet	190	33	58	33	58	33	405	Psychic		2	False
203	Girafarig	70	80	65	90	65	85	455	Normal	Psychic	2	False
204	Pineco	50	65	90	35	35	15	290	Bug		2	False
205	Forretress	75	90	140	60	60	40	465	Bug	Steel	2	False
206	Dunsparce	100	70	70	65	65	45	415	Normal		2	False
207	Gligar	65	75	105	35	65	85	430	Ground	Flying	2	False
208	Steelix	75	85	200	55	65	30	510	Steel	Ground	2	False
208	SteelixMega Steelix	75	125	230	55	95	30	610	Steel	Ground	2	False
209	Snubbull	60	80	50	40	40	30	300	Fairy		2	False
210	Granbull	90	120	75	60	60	45	450	Fairy		2	False
211	Qwilfish	65	95	75	55	55	85	430	Water	Poison	2	False
212	Scizor	70	130	100	55	80	65	500	Bug	Steel	2	False
212	ScizorMega Scizor	70	150	140	65	100	75	600	Bug	Steel	2	False
213	Shuckle	20	10	230	10	230	5	505	Bug	Rock	2	False
214	Heracross	80	125	75	40	95	85	500	Bug	Fighting	2	False
214	HeracrossMega Heracross	80	185	115	40	105	75	600	Bug	Fighting	2	False
215	Sneasel	55	95	55	35	75	115	430	Dark	Ice	2	False
216	Teddiursa	60	80	50	50	50	40	330	Normal		2	False
217	Ursaring	90	130	75	75	75	55	500	Normal		2	False
218	Slugma	40	40	40	70	40	20	250	Fire		2	False
219	Magcargo	50	50	120	80	80	30	410	Fire	Rock	2	False
220	Swinub	50	50	40	30	30	50	250	Ice	Ground	2	False
221	Piloswine	100	100	80	60	60	50	450	Ice	Ground	2	False
222	Corsola	55	55	85	65	85	35	380	Water	Rock	2	False
223	Remoraid	35	65	35	65	35	65	300	Water		2	False
224	Octillery	75	105	75	105	75	45	480	Water		2	False
225	Delibird	45	55	45	65	45	75	330	Ice	Flying	2	False
226	Mantine	65	40	70	80	140	70	465	Water	Flying	2	False
227	Skarmory	65	80	140	40	70	70	465	Steel	Flying	2	False
228	Houndour	45	60	30	80	50	65	330	Dark	Fire	2	False
229	Houndoom	75	90	50	110	80	95	500	Dark	Fire	2	False
229	HoundoomMega Houndoom	75	90	90	140	90	115	600	Dark	Fire	2	False
230	Kingdra	75	95	95	95	95	85	540	Water	Dragon	2	False
231	Phanpy	90	60	60	40	40	40	330	Ground		2	False
232	Donphan	90	120	120	60	60	50	500	Ground		2	False
233	Porygon2	85	80	90	105	95	60	515	Normal		2	False
234	Stantler	73	95	62	85	65	85	465	Normal		2	False
235	Smeargle	55	20	35	20	45	75	250	Normal		2	False
236	Tyrogue	35	35	35	35	35	35	210	Fighting		2	False
237	Hitmontop	50	95	95	35	110	70	455	Fighting		2	False
238	Smoochum	45	30	15	85	65	65	305	Ice	Psychic	2	False
239	Elekid	45	63	37	65	55	95	360	Electric		2	False
240	Magby	45	75	37	70	55	83	365	Fire		2	False
241	Miltank	95	80	105	40	70	100	490	Normal		2	False
242	Blissey	255	10	10	75	135	55	540	Normal		2	False
243	Raikou	90	85	75	115	100	115	580	Electric		2	True
244	Entei	115	115	85	90	75	100	580	Fire		2	True
245	Suicune	100	75	115	90	115	85	580	Water		2	True
246	Larvitar	50	64	50	45	50	41	300	Rock	Ground	2	False
247	Pupitar	70	84	70	65	70	51	410	Rock	Ground	2	False
248	Tyranitar	100	134	110	95	100	61	600	Rock	Dark	2	False
248	TyranitarMega Tyranitar	100	164	150	95	120	71	700	Rock	Dark	2	False
249	Lugia	106	90	130	90	154	110	680	Psychic	Flying	2	True
250	Ho-oh	106	130	90	110	154	90	680	Fire	Flying	2	True
251	Celebi	100	100	100	100	100	100	600	Psychic	Grass	2	False
252	Treecko	40	45	35	65	55	70	310	Grass		3	False
253	Grovyle	50	65	45	85	65	95	405	Grass		3	False
254	Sceptile	70	85	65	105	85	120	530	Grass		3	False
254	SceptileMega Sceptile	70	110	75	145	85	145	630	Grass	Dragon	3	False
255	Torchic	45	60	40	70	50	45	310	Fire		3	False
256	Combusken	60	85	60	85	60	55	405	Fire	Fighting	3	False
257	Blaziken	80	120	70	110	70	80	530	Fire	Fighting	3	False
257	BlazikenMega Blaziken	80	160	80	130	80	100	630	Fire	Fighting	3	False
258	Mudkip	50	70	50	50	50	40	310	Water		3	False
259	Marshtomp	70	85	70	60	70	50	405	Water	Ground	3	False
260	Swampert	100	110	90	85	90	60	535	Water	Ground	3	False
260	SwampertMega Swampert	100	150	110	95	110	70	635	Water	Ground	3	False
261	Poochyena	35	55	35	30	30	35	220	Dark		3	False
262	Mightyena	70	90	70	60	60	70	420	Dark		3	False
263	Zigzagoon	38	30	41	30	41	60	240	Normal		3	False
264	Linoone	78	70	61	50	61	100	420	Normal		3	False
265	Wurmple	45	45	35	20	30	20	195	Bug		3	False
266	Silcoon	50	35	55	25	25	15	205	Bug		3	False
267	Beautifly	60	70	50	100	50	65	395	Bug	Flying	3	False
268	Cascoon	50	35	55	25	25	15	205	Bug		3	False
269	Dustox	60	50	70	50	90	65	385	Bug	Poison	3	False
270	Lotad	40	30	30	40	50	30	220	Water	Grass	3	False
271	Lombre	60	50	50	60	70	50	340	Water	Grass	3	False
272	Ludicolo	80	70	70	90	100	70	480	Water	Grass	3	False
273	Seedot	40	40	50	30	30	30	220	Grass		3	False
274	Nuzleaf	70	70	40	60	40	60	340	Grass	Dark	3	False
275	Shiftry	90	100	60	90	60	80	480	Grass	Dark	3	False
276	Taillow	40	55	30	30	30	85	270	Normal	Flying	3	False
277	Swellow	60	85	60	50	50	125	430	Normal	Flying	3	False
278	Wingull	40	30	30	55	30	85	270	Water	Flying	3	False
279	Pelipper	60	50	100	85	70	65	430	Water	Flying	3	False
280	Ralts	28	25	25	45	35	40	198	Psychic	Fairy	3	False
281	Kirlia	38	35	35	65	55	50	278	Psychic	Fairy	3	False
282	Gardevoir	68	65	65	125	115	80	518	Psychic	Fairy	3	False
282	GardevoirMega Gardevoir	68	85	65	165	135	100	618	Psychic	Fairy	3	False
283	Surskit	40	30	32	50	52	65	269	Bug	Water	3	False
284	Masquerain	70	60	62	80	82	60	414	Bug	Flying	3	False
285	Shroomish	60	40	60	40	60	35	295	Grass		3	False
286	Breloom	60	130	80	60	60	70	460	Grass	Fighting	3	False
287	Slakoth	60	60	60	35	35	30	280	Normal		3	False
288	Vigoroth	80	80	80	55	55	90	440	Normal		3	False
289	Slaking	150	160	100	95	65	100	670	Normal		3	False
290	Nincada	31	45	90	30	30	40	266	Bug	Ground	3	False
291	Ninjask	61	90	45	50	50	160	456	Bug	Flying	3	False
292	Shedinja	1	90	45	30	30	40	236	Bug	Ghost	3	False
293	Whismur	64	51	23	51	23	28	240	Normal		3	False
294	Loudred	84	71	43	71	43	48	360	Normal		3	False
295	Exploud	104	91	63	91	73	68	490	Normal		3	False
296	Makuhita	72	60	30	20	30	25	237	Fighting		3	False
297	Hariyama	144	120	60	40	60	50	474	Fighting		3	False
298	Azurill	50	20	40	20	40	20	190	Normal	Fairy	3	False
299	Nosepass	30	45	135	45	90	30	375	Rock		3	False
300	Skitty	50	45	45	35	35	50	260	Normal		3	False
301	Delcatty	70	65	65	55	55	70	380	Normal		3	False
302	Sableye	50	75	75	65	65	50	380	Dark	Ghost	3	False
302	SableyeMega Sableye	50	85	125	85	115	20	480	Dark	Ghost	3	False
303	Mawile	50	85	85	55	55	50	380	Steel	Fairy	3	False
303	MawileMega Mawile	50	105	125	55	95	50	480	Steel	Fairy	3	False
304	Aron	50	70	100	40	40	30	330	Steel	Rock	3	False
305	Lairon	60	90	140	50	50	40	430	Steel	Rock	3	False
306	Aggron	70	110	180	60	60	50	530	Steel	Rock	3	False
306	AggronMega Aggron	70	140	230	60	80	50	630	Steel		3	False
307	Meditite	30	40	55	40	55	60	280	Fighting	Psychic	3	False
308	Medicham	60	60	75	60	75	80	410	Fighting	Psychic	3	False
308	MedichamMega Medicham	60	100	85	80	85	100	510	Fighting	Psychic	3	False
309	Electrike	40	45	40	65	40	65	295	Electric		3	False
310	Manectric	70	75	60	105	60	105	475	Electric		3	False
310	ManectricMega Manectric	70	75	80	135	80	135	575	Electric		3	False
311	Plusle	60	50	40	85	75	95	405	Electric		3	False
312	Minun	60	40	50	75	85	95	405	Electric		3	False
313	Volbeat	65	73	55	47	75	85	400	Bug		3	False
314	Illumise	65	47	55	73	75	85	400	Bug		3	False
315	Roselia	50	60	45	100	80	65	400	Grass	Poison	3	False
316	Gulpin	70	43	53	43	53	40	302	Poison		3	False
317	Swalot	100	73	83	73	83	55	467	Poison		3	False
318	Carvanha	45	90	20	65	20	65	305	Water	Dark	3	False
319	Sharpedo	70	120	40	95	40	95	460	Water	Dark	3	False
319	SharpedoMega Sharpedo	70	140	70	110	65	105	560	Water	Dark	3	False
320	Wailmer	130	70	35	70	35	60	400	Water		3	False
321	Wailord	170	90	45	90	45	60	500	Water		3	False
322	Numel	60	60	40	65	45	35	305	Fire	Ground	3	False
323	Camerupt	70	100	70	105	75	40	460	Fire	Ground	3	False
323	CameruptMega Camerupt	70	120	100	145	105	20	560	Fire	Ground	3	False
324	Torkoal	70	85	140	85	70	20	470	Fire		3	False
325	Spoink	60	25	35	70	80	60	330	Psychic		3	False
326	Grumpig	80	45	65	90	110	80	470	Psychic		3	False
327	Spinda	60	60	60	60	60	60	360	Normal		3	False
328	Trapinch	45	100	45	45	45	10	290	Ground		3	False
329	Vibrava	50	70	50	50	50	70	340	Ground	Dragon	3	False
330	Flygon	80	100	80	80	80	100	520	Ground	Dragon	3	False
331	Cacnea	50	85	40	85	40	35	335	Grass		3	False
332	Cacturne	70	115	60	115	60	55	475	Grass	Dark	3	False
333	Swablu	45	40	60	40	75	50	310	Normal	Flying	3	False
334	Altaria	75	70	90	70	105	80	490	Dragon	Flying	3	False
334	AltariaMega Altaria	75	110	110	110	105	80	590	Dragon	Fairy	3	False
335	Zangoose	73	115	60	60	60	90	458	Normal		3	False
336	Seviper	73	100	60	100	60	65	458	Poison		3	False
337	Lunatone	70	55	65	95	85	70	440	Rock	Psychic	3	False
338	Solrock	70	95	85	55	65	70	440	Rock	Psychic	3	False
339	Barboach	50	48	43	46	41	60	288	Water	Ground	3	False
340	Whiscash	110	78	73	76	71	60	468	Water	Ground	3	False
341	Corphish	43	80	65	50	35	35	308	Water		3	False
342	Crawdaunt	63	120	85	90	55	55	468	Water	Dark	3	False
343	Baltoy	40	40	55	40	70	55	300	Ground	Psychic	3	False
344	Claydol	60	70	105	70	120	75	500	Ground	Psychic	3	False
345	Lileep	66	41	77	61	87	23	355	Rock	Grass	3	False
346	Cradily	86	81	97	81	107	43	495	Rock	Grass	3	False
347	Anorith	45	95	50	40	50	75	355	Rock	Bug	3	False
348	Armaldo	75	125	100	70	80	45	495	Rock	Bug	3	False
349	Feebas	20	15	20	10	55	80	200	Water		3	False
350	Milotic	95	60	79	100	125	81	540	Water		3	False
351	Castform	70	70	70	70	70	70	420	Normal		3	False
352	Kecleon	60	90	70	60	120	40	440	Normal		3	False
353	Shuppet	44	75	35	63	33	45	295	Ghost		3	False
354	Banette	64	115	65	83	63	65	455	Ghost		3	False
354	BanetteMega Banette	64	165	75	93	83	75	555	Ghost		3	False
355	Duskull	20	40	90	30	90	25	295	Ghost		3	False
356	Dusclops	40	70	130	60	130	25	455	Ghost		3	False
357	Tropius	99	68	83	72	87	51	460	Grass	Flying	3	False
358	Chimecho	65	50	70	95	80	65	425	Psychic		3	False
359	Absol	65	130	60	75	60	75	465	Dark		3	False
359	AbsolMega Absol	65	150	60	115	60	115	565	Dark		3	False
360	Wynaut	95	23	48	23	48	23	260	Psychic		3	False
361	Snorunt	50	50	50	50	50	50	300	Ice		3	False
362	Glalie	80	80	80	80	80	80	480	Ice		3	False
362	GlalieMega Glalie	80	120	80	120	80	100	580	Ice		3	False
363	Spheal	70	40	50	55	50	25	290	Ice	Water	3	False
364	Sealeo	90	60	70	75	70	45	410	Ice	Water	3	False
365	Walrein	110	80	90	95	90	65	530	Ice	Water	3	False
366	Clamperl	35	64	85	74	55	32	345	Water		3	False
367	Huntail	55	104	105	94	75	52	485	Water		3	False
368	Gorebyss	55	84	105	114	75	52	485	Water		3	False
369	Relicanth	100	90	130	45	65	55	485	Water	Rock	3	False
370	Luvdisc	43	30	55	40	65	97	330	Water		3	False
371	Bagon	45	75	60	40	30	50	300	Dragon		3	False
372	Shelgon	65	95	100	60	50	50	420	Dragon		3	False
373	Salamence	95	135	80	110	80	100	600	Dragon	Flying	3	False
373	SalamenceMega Salamence	95	145	130	120	90	120	700	Dragon	Flying	3	False
374	Beldum	40	55	80	35	60	30	300	Steel	Psychic	3	False
375	Metang	60	75	100	55	80	50	420	Steel	Psychic	3	False
376	Metagross	80	135	130	95	90	70	600	Steel	Psychic	3	False
376	MetagrossMega Metagross	80	145	150	105	110	110	700	Steel	Psychic	3	False
377	Regirock	80	100	200	50	100	50	580	Rock		3	True
378	Regice	80	50	100	100	200	50	580	Ice		3	True
379	Registeel	80	75	150	75	150	50	580	Steel		3	True
380	Latias	80	80	90	110	130	110	600	Dragon	Psychic	3	True
380	LatiasMega Latias	80	100	120	140	150	110	700	Dragon	Psychic	3	True
381	Latios	80	90	80	130	110	110	600	Dragon	Psychic	3	True
381	LatiosMega Latios	80	130	100	160	120	110	700	Dragon	Psychic	3	True
382	Kyogre	100	100	90	150	140	90	670	Water		3	True
382	KyogrePrimal Kyogre	100	150	90	180	160	90	770	Water		3	True
383	Groudon	100	150	140	100	90	90	670	Ground		3	True
383	GroudonPrimal Groudon	100	180	160	150	90	90	770	Ground	Fire	3	True
384	Rayquaza	105	150	90	150	90	95	680	Dragon	Flying	3	True
384	RayquazaMega Rayquaza	105	180	100	180	100	115	780	Dragon	Flying	3	True
